Product_Description,Product_Category,Predicted_Category
Google Men's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Women's Yoga Jacket Black,Apparel,sports & fitness
YouTube Men's Fleece Hoodie Black,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee Black,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,apparel
Google Women's Short Sleeve Hero Tee White,Apparel,apparel
Google Women's Quilted Insulated Vest Black,Apparel,apparel
Google Men's Bike Short Sleeve Tee Charcoal,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,apparel
Google Women's Short Sleeve Hero Tee Black,Apparel,apparel
Google Women's Short Sleeve Hero Tee Sky Blue,Apparel,apparel
Google Women's Short Sleeve Hero Tee Red Heather,Apparel,apparel
Google Men's Pullover Hoodie Grey,Apparel,apparel
Google Youth Short Sleeve T-shirt Royal Blue,Apparel,Kids Apparel
Google Youth Short Sleeve T-shirt Green,Apparel,Kids Apparel
Google Women's Lightweight Microfleece Jacket,Apparel,apparel
Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,apparel
Android Men's Vintage Tee,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,sports & fitness
Google Men's Vintage Badge Tee White,Apparel,apparel
Google Men's Quilted Insulated Vest Battleship Grey,Apparel,apparel
YouTube Men's Long Sleeve Pullover Badge Tee Heather,Apparel,apparel
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Apparel,apparel
Google Women's Short Sleeve Badge Tee Navy,Apparel,apparel
Google Toddler Short Sleeve T-shirt Royal Blue,Apparel,Kids Apparel
Google Toddler Short Sleeve T-shirt Green,Apparel,Kids Apparel
YouTube Twill Cap,Apparel,Caps and Hats
Google Twill Cap,Apparel,Caps and Hats
Google Women's Vintage Hero Tee Platinum,Apparel,apparel
Google Men's Short Sleeve Badge Tee Charcoal,Apparel,apparel
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Apparel,apparel
Google Men's Long Sleeve Raglan Ocean Blue,Apparel,apparel
Google Women's Short Sleeve Badge Tee Red Heather,Apparel,apparel
Google Men's  Zip Hoodie,Apparel,apparel
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel,sports & fitness
Google Women's Vintage Hero Tee White,Apparel,apparel
Women's Performance Full Zip Jacket Black,Apparel,sports & fitness
Google Women's Zip Hoodie Grey,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,apparel
Google Men's Lightweight Microfleece Jacket Black,Apparel,apparel
Google Men's Airflow 1/4 Zip Pullover Black,Apparel,apparel
Google Men's Performance 1/4 Zip Pullover Heather/Black,Apparel,sports & fitness
Google Men's Quilted Insulated Vest Black,Apparel,apparel
Google Onesie Green,Apparel,onesie
Google Tri-blend Hoodie Grey,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Black,Apparel,sports & fitness
Google Men's Watershed Full Zip Hoodie Grey,Apparel,apparel
Google Women's Fleece Hoodie,Apparel,apparel
Android Toddler Short Sleeve T-shirt Aqua,Apparel,Kids Apparel
Android Toddler Short Sleeve T-shirt Pink,Apparel,Kids Apparel
Android Men's 3/4 Sleeve Raglan Henley Black,Apparel,apparel
Google Women's Long Sleeve Tee Lavender,Apparel,apparel
Google Women's 1/4 Zip Jacket Charcoal,Apparel,apparel
Android BTTF Moonshot Graphic Tee,Apparel,apparel
Google Men's Skater Tee Grey,Apparel,apparel
Android Men's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,Apparel,apparel
Google Toddler Short Sleeve Tee Red,Apparel,Kids Apparel
Google Toddler Hoodie Royal Blue,Apparel,Kids Apparel
YouTube Men's Short Sleeve Hero Tee Charcoal,Apparel,apparel
Android Youth Short Sleeve T-shirt Pewter,Apparel,Kids Apparel
Google Toddler Short Sleeve T-shirt Grey,Apparel,Kids Apparel
Google Toddler Short Sleeve Tee White,Apparel,Kids Apparel
Google Youth Short Sleeve Tee White,Apparel,Kids Apparel
Android Twill Cap,Apparel,Caps and Hats
Android Men's  Zip Hoodie,Apparel,apparel
Google Men's Performance Full Zip Jacket Black,Apparel,sports & fitness
Android BTTF Cosmos Graphic Tee,Apparel,apparel
Google Men's Long Sleeve Pullover Badge Tee Heather,Apparel,apparel
Google Men's Vintage Badge Tee Black,Apparel,apparel
Google Men's Short Sleeve Hero Tee Charcoal,Apparel,apparel
Android Infant Short Sleeve Tee Aqua,Apparel,Kids Apparel
Google Youth Baseball Raglan Heather/Black,Apparel,Kids Apparel
Google Youth Sports Tee Navy,Apparel,Kids Apparel
YouTube Youth Short Sleeve Tee Red,Apparel,Kids Apparel
Android Onesie Sprout Green,Apparel,onesie
YouTube Infant Short Sleeve Tee Red,Apparel,Kids Apparel
YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,apparel
YouTube Women's Fleece Hoodie Black,Apparel,apparel
Google Onesie Red,Apparel,onesie
YouTube Men's Vintage Tee,Apparel,apparel
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee White,Apparel,apparel
Android Women's Long Sleeve Blended Cardigan Grey,Apparel,apparel
Men's Softshell Jacket Black/Grey,Apparel,sports & fitness
Google Men's Short Sleeve Performance Badge Tee Charcoal,Apparel,sports & fitness
Google Women's Scoop Neck Tee Black,Apparel,apparel
Google Infant Zip Hood Royal Blue,Apparel,Kids Apparel
Google Toddler 1/4 Zip Fleece Pewter,Apparel,Kids Apparel
Google Toddler Raglan Shirt Blue Heather/Navy,Apparel,Kids Apparel
Google Youth Girl Hoodie,Apparel,Kids Apparel
Android Toddler Short Sleeve T-shirt Pewter,Apparel,Kids Apparel
Google Women's Tee Grey,Apparel,apparel
Android Infant Short Sleeve Tee Pewter,Apparel,Kids Apparel
Google Infant Short Sleeve Tee Red,Apparel,Kids Apparel
YouTube Onesie Heather,Apparel,onesie
Google Men's Vintage Tank,Apparel,apparel
Google Women's Vintage Hero Tee Black,Apparel,apparel
Google Men's Airflow 1/4 Zip Pullover Lapis,Apparel,apparel
Android Men's Vintage Tank,Apparel,apparel
Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,apparel
Google Vintage Henley Grey/Black,Apparel,apparel
Google Men's Long Sleeve Raglan Cranberry,Apparel,apparel
Android Heavyweight Long Sleeve Badge Tee Black,Apparel,apparel
Google Onesie Royal Blue,Apparel,onesie
Google Onesie Red/Graphite,Apparel,onesie
Google Men's Performance Hero Tee Gunmetal,Apparel,sports & fitness
Google Women's Scoop Neck Tee Green,Apparel,apparel
Google Women's Performance Golf Polo Blue,Apparel,sports & fitness
Android Women's Fleece Hoodie,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Navy,Apparel,sports & fitness
Android Lifted Men's Short Sleeve Tee Blue,Apparel,apparel
Android Men's Pep Rally Short Sleeve Tee Navy,Apparel,apparel
Android Men's Outerstellar Short Sleeve Tee Black,Apparel,apparel
Android Men's Take Charge Short Sleeve Tee Purple,Apparel,apparel
Android Men's Engineer Short Sleeve Tee Charcoal,Apparel,apparel
Google Men's Around The Block Short Sleeve Tee Ash,Apparel,apparel
Google Youth Short Sleeve T-shirt Yellow,Apparel,Kids Apparel
Google Men's Bayside Graphic Tee,Apparel,apparel
Google Women's Short Sleeve Hero Tee Grey,Apparel,apparel
Men's Weatherblock Shell Jacket Black,Apparel,apparel
Google Women's Scoop Neck Tee White,Apparel,apparel
Google Women's Short Sleeve Performance Tee Black,Apparel,sports & fitness
Google Youth Girl Tee Green,Apparel,Kids Apparel
Google Women's 1/4 Zip Performance Pullover Black,Apparel,sports & fitness
YouTube Men's Vintage Henley,Apparel,apparel
Google Women's Yoga Pants,Apparel,sports & fitness
Google Women's Vintage Hero Tee Lavender,Apparel,apparel
Google Men's Vintage Badge Tee Sage,Apparel,apparel
Android Infant Short Sleeve Tee Pink,Apparel,Kids Apparel
YouTube Men's Short Sleeve Hero Tee  White,Apparel,apparel
Google Men's Performance Polo Grey/Black,Apparel,sports & fitness
Android Men's Short Sleeve Hero Tee White,Apparel,apparel
Google Toddler Short Sleeve T-shirt Yellow,Apparel,Kids Apparel
You Tube Toddler Short Sleeve Tee Red,Apparel,Kids Apparel
Google Men's Long & Lean Tee Grey,Apparel,apparel
Google Infant Zip Hood Pink,Apparel,Kids Apparel
Google Women's Quilted Insulated Vest White,Apparel,apparel
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,Apparel,apparel
Google Infant Short Sleeve Tee White,Apparel,Kids Apparel
Google Men's 3/4 Sleeve Raglan Henley Grey,Apparel,apparel
Google Infant Short Sleeve Tee Cornflower Blue,Apparel,Kids Apparel
Google Canvas Tote Natural/Navy,Bags,apparel
Sport Bag,Bags,sports & fitness
Collapsible Shopping Bag,Bags,bags & luggage
Reusable Shopping Bag,Bags,bags & luggage
Google Alpine Style Backpack,Bags,bags & luggage
Google Slim Utility Travel Bag,Bags,bags & luggage
Suitcase Organizer Cubes,Bags,bags & luggage
Google Lunch Bag,Bags,bags & luggage
Waterproof Backpack,Bags,bags & luggage
Electronics Accessory Pouch,Bags,bags & luggage
Google Tote Bag,Bags,bags & luggage
Softsided Travel Pouch Set,Bags,bags & luggage
Google Zipper-front Sports Bag,Bags,bags & luggage
Google Laptop Backpack,Bags,bags & luggage
Google Rucksack,Bags,bags & luggage
Large Zipper Top Tote Bag,Bags,bags & luggage
Google 22 oz Water Bottle,Drinkware,Drinkware
Google Infuser-Top Water Bottle,Drinkware,Drinkware
Engraved Ceramic Google Mug,Drinkware,Drinkware
Android Glass Water Bottle with Black Sleeve,Drinkware,Drinkware
Android Rise 14 oz Mug,Drinkware,Drinkware
Red Shine 15 oz Mug,Drinkware,Drinkware
23 oz Wide Mouth Sport Bottle,Drinkware,Drinkware
Google 17oz Stainless Steel Sport Bottle,Drinkware,Drinkware
26 oz Double Wall Insulated Bottle,Drinkware,Drinkware
24 oz YouTube Sergeant Stripe Bottle,Drinkware,Drinkware
Foam Can and Bottle Cooler,Drinkware,Drinkware
20 oz Stainless Steel Insulated Tumbler,Drinkware,Drinkware
Google Insulated Stainless Steel Bottle,Drinkware,Drinkware
Google 40 oz Insulated Monster Bottle,Drinkware,Drinkware
Google Accent Insulated Stainless Steel Bottle,Drinkware,Drinkware
Google 25 oz Red Stainless Steel Bottle,Drinkware,Drinkware
Android 24 oz Contigo Bottle,Drinkware,Drinkware
Bottle Opener Clip,Drinkware,Drinkware
Google 25 oz Blue Stainless Steel Bottle,Drinkware,Drinkware
Android 25 oz Green Apple Stainless Steel Bottle,Drinkware,Drinkware
Android 17oz Stainless Steel Sport Bottle,Drinkware,Drinkware
Insulated Bottle,Drinkware,Drinkware
7&quot; Dog Frisbee,Lifestyle,pet supplies
Compact Selfie Stick,Lifestyle,beauty & health
Google Kick Ball,Lifestyle,apparel
Seat Pack Organizer,Lifestyle,industrial supplies
Google Sunglasses,Lifestyle,apparel
Yoga Mat Blue,Lifestyle,sports & fitness
Google Pet Feeding Mat,Lifestyle,pet supplies
1 oz Hand Sanitizer,Lifestyle,beauty & health
Google Executive Umbrella,Lifestyle,apparel
Windup Android,Lifestyle,apparel
Google Collapsible Pet Bowl,Lifestyle,pet supplies
Crunch Noise Dog Toy,Lifestyle,pet supplies
Android Lunch Kit,Lifestyle,home & kitchen
Yoga Mat Purple,Lifestyle,sports & fitness
Straw Beach Mat,Lifestyle,sports & fitness
Waze Mobile Phone Vent Mount,Waze,car & motorbike
Waze Mood Ninja Window Decal,Waze,car & motorbike
Waze Men's Short Sleeve Tee,Waze,apparel
Waze Mood Original Window Decal,Waze,home & kitchen
Waze Baby on Board Window Decal,Waze,car & motorbike
Waze Mood Happy Window Decal,Waze,car & motorbike
Waze Men's Typography Short Sleeve Tee,Waze,apparel
Waze Women's Short Sleeve Tee,Waze,apparel
Waze Women's Typography Short Sleeve Tee,Waze,apparel
Google Trucker Hat,Headgear,Caps and Hats
Google Wool Heather Cap Heather/Navy,Headgear,Caps and Hats
Android Stretch Fit Hat M/L,Headgear,Caps and Hats
Google Blackout Cap,Headgear,Caps and Hats
Google French Terry Cap,Headgear,Caps and Hats
YouTube Trucker Hat,Headgear,Caps and Hats
Google 5-Panel Cap,Headgear,Caps and Hats
YouTube Wool Heather Cap Heather/Black,Headgear,Caps and Hats
Google Stretch Fit Hat S/M Navy,Headgear,Caps and Hats
Google Stretch Fit Hat M/L Navy,Headgear,Caps and Hats
Google Stretch Fit Hat L/XL Navy,Headgear,Caps and Hats
YouTube Luggage Tag,Fun,bags & luggage
Android Luggage Tag,Fun,bags & luggage
Google Luggage Tag,Fun,bags & luggage
YouTube Spiral Journal with Pen,Notebooks & Journals,office
Google RFID Journal,Notebooks & Journals,office
Google Hard Cover Journal,Notebooks & Journals,office
YouTube RFID Journal,Notebooks & Journals,office
Google Spiral Journal with Pen,Notebooks & Journals,office
YouTube Hard Cover Journal,Notebooks & Journals,office
Google Leather Journal-Brown,Notebooks & Journals,office
Android Hard Cover Journal,Notebooks & Journals,office
Google Leather Perforated Journal,Notebooks & Journals,office
Android RFID Journal,Notebooks & Journals,office
Google 25 oz Clear Stainless Steel Bottle,Google,Drinkware
Nest Cam Indoor Security Camera - CA,Nest-Canada,home & kitchen
Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,home & kitchen
Nest Cam Outdoor Security Camera - CA,Nest-Canada,home & kitchen
Nest Protect Smoke + CO White Wired Alarm - CA,Nest-Canada,home & kitchen
Nest Protect Smoke + CO White Battery Alarm - CA,Nest-Canada,home & kitchen
22 oz Android Bottle,Bottles,Drinkware
22 oz YouTube Bottle Infuser,Bottles,Drinkware
Gift Card - $50.00,Gift Cards,Gift Cards
Gift Card- $100.00,Gift Cards,Gift Cards
Gift Card - $25.00,Gift Cards,Gift Cards
Google Collapsible Duffel Black,More Bags,bags & luggage
Google Collapsible Duffel Blue,More Bags,bags & luggage
25L Classic Rucksack,Backpacks,bags & luggage
SPF-15 Slim & Slender Lip Balm,Housewares,beauty & health
Android Men's Paradise Short Sleeve Tee Olive,Android,apparel
Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,home & kitchen
Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,home & kitchen
Google Large Standard Journal Navy,Office,office
Google Large Standard Journal Grey,Office,office
YouTube Tee Black,Apparel,apparel
Google Tee Yellow,Apparel,apparel
Google Tee Green,Apparel,apparel
Google Women's Short Sleeve Badge Tee Grey,Apparel,apparel
Google Women's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Trike Tee Black,Apparel,apparel
Google Tee Blue,Apparel,apparel
YouTube Women's Favorite Tee White,Apparel,apparel
Google Women's Coder Tee Navy,Apparel,apparel
Google Crewneck Sweatshirt Navy,Apparel,apparel
Android Women's Peace Tee Black,Apparel,apparel
Google Protector Tee Navy,Apparel,apparel
Android Tone Hoodie Black,Apparel,apparel
Android Matrix Tee White,Apparel,apparel
YouTube 3 lines Tee Grey,Apparel,apparel
YouTube Kids Tee White,Apparel,apparel
Google Crew Sweater Navy,Apparel,apparel
Google Youth Short Sleeve Tee Red,Apparel,Kids Apparel
Google Tee Red,Apparel,apparel
Google Men's Long & Lean Tee Charcoal,Apparel,apparel
Google Women's Convertible Vest-Jacket Sea Foam Green,Apparel,apparel
Google Flower Tee Purple,Apparel,apparel
Google Infant Short Sleeve Tee Green,Apparel,Kids Apparel
Google Zip Hoodie Black,Apparel,apparel
Google Braille Tee Black,Apparel,apparel
Android Women's Dash Tee Grey,Apparel,apparel
YouTube Kids Tee Black,Apparel,Kids Apparel
YouTube Kids Onesie White,Apparel,Kids Apparel
Google Women's Softshell Jacket Black/Grey,Apparel,apparel
Google Rolltop Backpack Blue,Bags,apparel
Google Thermal Bottle Green,Drinkware,Drinkware
Google Thermal Bottle Yellow,Drinkware,Drinkware
Google Thermal Bottle Blue,Drinkware,Drinkware
Google Thermal Bottle Red,Drinkware,Drinkware
Google White Force 17 oz Bottle,Drinkware,Drinkware
Google Hub Mug White,Drinkware,Drinkware
Waze Dress Socks,Waze,apparel
Google Snapback Navy Cap,Headgear,Caps and Hats
Google Snapback Black Cap,Headgear,Caps and Hats
YouTube Transmission Journal Black,Notebooks & Journals,office
Nest Thermostat E - USA,Nest,beauty & health
Nest Cam IQ - USA,Nest,beauty & health
Nest Tag - USA,Nest,beauty & health
Nest Secure Alarm System Starter Pack - USA,Nest,home & kitchen
Nest Detect - USA,Nest,beauty & health
Nest  Thermostat E - CA,Nest,industrial supplies
Nest Cam IQ - CA,Nest,industrial supplies
Android Small Removable Sticker Sheet,Accessories,office
Android Large Removable Sticker Sheet,Accessories,office
Google Emoji Sticker Pack,Accessories,office
Waze Pack of 9 Decal Set,Accessories,car & motorbike
BLM Sweatshirt,Apparel,sports & fitness
Google Women's Short Sleeve Performance Tee Charcoal,Apparel,sports & fitness
Android Men's Vintage Henley,Apparel,apparel
YouTube Men's Vintage Tank,Apparel,apparel
Android Stretch Fit Hat,Apparel,apparel
Google Women's Long Sleeve Blended Cardigan Charcoal,Apparel,apparel
Android Men's Long Sleeve Badge Crew Tee Heather,Apparel,apparel
Google Infant Short Sleeve Tee Royal Blue,Apparel,Kids Apparel
Android Men's Long & Lean Badge Tee Charcoal,Apparel,apparel
Google Women's Shell Jacket Blue/Black,Apparel,apparel
YouTube Men's Long & Lean Tee Charcoal,Apparel,apparel
Google Men's Colorblock Tee White/Heather,Apparel,apparel
Google Women's Performance Hero Tee Gunmetal,Apparel,sports & fitness
Google Men's Short Sleeve Hero Tee Light Blue,Apparel,apparel
Women's Weatherblock Shell Jacket Black,Apparel,apparel
Google Women's Short Sleeve Performance Tee Pewter,Apparel,sports & fitness
Android Onesie Gold,Apparel,onesie
YouTube Men's Skater Tee Charcoal,Apparel,apparel
Google Toddler Sports T-shirt Red,Apparel,Kids Apparel
Yoga Block,Lifestyle,sports & fitness
Android Stretch Fit Hat S/M,Headgear,apparel
Google 5-Panel Snapback Cap,Headgear,apparel
Google Spiral Leather Journal,Notebooks & Journals,office
Google Leather Journal-Black,Notebooks & Journals,apparel
UpCycled Bike Saddle Bag,Accessories,sports & fitness
Waterproof Gear Bag,Office,bags & luggage
Google Men's Convertible Vest-Jacket Pewter,Apparel,apparel
Android Men's Skater Badge Tee Charcoal,Apparel,apparel
Google Women's Convertible Vest-Jacket Black,Apparel,apparel
YouTube Men's 3/4 Sleeve Henley,Apparel,apparel
Android Youth Short Sleeve T-shirt Aqua,Apparel,Kids Apparel
Android Onesie Baby Blue,Apparel,onesie
Android Women's Racer Back Tank Black,Apparel,apparel
Google Women's Short Sleeve Performance Tee Navy,Apparel,sports & fitness
Google Men's Heavyweight Long Sleeve Hero Tee Navy,Apparel,apparel
Android Women's Short Sleeve Badge Tee Light Charcoal,Apparel,apparel
Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,Apparel,apparel
YouTube Women's Racer Back Tank Black,Apparel,apparel
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,Apparel,apparel
Google Baby Essentials Set,Apparel,apparel
Google Women's Colorblock Tee White,Apparel,apparel
Android Spiral Journal with Pen,Notebooks & Journals,office
Nest Cam IQ Outdoor - USA (Preorder),Nest,bags & luggage
UpCycled Handlebar Bag,Accessories,bags & luggage
Emoji Sticker Sheet,Accessories,home & kitchen
Android 5-Panel Low Cap,Apparel,Caps and Hats
Android Wool Heather Cap Heather/Black,Headgear,Caps and Hats
Google Snapback Hat Black,Headgear,Caps and Hats
Google 17 oz Double Wall Stainless Steel Insulated Bottle,Google,Drinkware
Android Baby Esssentials Set,Apparel,Kids Apparel
Google Women's Performance Polo Grey/Black,Apparel,sports & fitness
Android Stretch Fit Hat L/XL,Headgear,Caps and Hats
Google Women's Short Sleeve Hero Dark Grey,Apparel,apparel
Compact Journal with Recycled Pages,Office,office
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,Apparel,apparel
Gift Card - $10.00,Gift Cards,Gift Cards
Gift Card - $250.00,Gift Cards,Gift Cards
Google Laptop Tech Backpack,Backpacks,bags & luggage
