Product_Description,Product_Category,Predicted_Category
Google Women's Short Sleeve Badge Tee Navy,Apparel,apparel
Google Toddler Short Sleeve T-shirt Royal Blue,Apparel,apparel
Google Toddler Short Sleeve T-shirt Green,Apparel,apparel
YouTube Twill Cap,Apparel,apparel
Google Twill Cap,Apparel,apparel
Google Women's Vintage Hero Tee Platinum,Apparel,apparel
Google Men's Short Sleeve Badge Tee Charcoal,Apparel,apparel
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Apparel,apparel
Google Men's Long Sleeve Raglan Ocean Blue,Apparel,apparel
Google Women's Short Sleeve Badge Tee Red Heather,Apparel,apparel
Google Men's  Zip Hoodie,Apparel,apparel
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel,apparel
Google Women's Vintage Hero Tee White,Apparel,apparel
Women's Performance Full Zip Jacket Black,Apparel,sports & fitness
Google Women's Zip Hoodie Grey,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,apparel
Google Men's Lightweight Microfleece Jacket Black,Apparel,apparel
Google Men's Airflow 1/4 Zip Pullover Black,Apparel,apparel
Google Men's Performance 1/4 Zip Pullover Heather/Black,Apparel,apparel
Google Men's Quilted Insulated Vest Black,Apparel,apparel
Google Onesie Green,Apparel,apparel
Google Tri-blend Hoodie Grey,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Black,Apparel,apparel
Google Men's Watershed Full Zip Hoodie Grey,Apparel,apparel
Google Women's Fleece Hoodie,Apparel,apparel
Android Toddler Short Sleeve T-shirt Aqua,Apparel,apparel
Android Toddler Short Sleeve T-shirt Pink,Apparel,apparel
Android Men's 3/4 Sleeve Raglan Henley Black,Apparel,apparel
Google Women's Long Sleeve Tee Lavender,Apparel,apparel
Google Women's 1/4 Zip Jacket Charcoal,Apparel,apparel
Android BTTF Moonshot Graphic Tee,Apparel,apparel
Google Men's Skater Tee Grey,Apparel,apparel
Android Men's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,Apparel,apparel
Google Toddler Short Sleeve Tee Red,Apparel,apparel
Google Toddler Hoodie Royal Blue,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee Charcoal,Apparel,apparel
Android Youth Short Sleeve T-shirt Pewter,Apparel,apparel
Google Toddler Short Sleeve T-shirt Grey,Apparel,apparel
Google Toddler Short Sleeve Tee White,Apparel,apparel
Google Youth Short Sleeve Tee White,Apparel,apparel
Android Twill Cap,Apparel,apparel
Android Men's  Zip Hoodie,Apparel,apparel
Google Men's Performance Full Zip Jacket Black,Apparel,apparel
Android BTTF Cosmos Graphic Tee,Apparel,apparel
Google Men's Long Sleeve Pullover Badge Tee Heather,Apparel,apparel
Google Men's Vintage Badge Tee Black,Apparel,apparel
Google Men's Short Sleeve Hero Tee Charcoal,Apparel,apparel
Android Infant Short Sleeve Tee Aqua,Apparel,apparel
Google Youth Baseball Raglan Heather/Black,Apparel,apparel
Google Youth Sports Tee Navy,Apparel,apparel
YouTube Youth Short Sleeve Tee Red,Apparel,apparel
Android Onesie Sprout Green,Apparel,apparel
YouTube Infant Short Sleeve Tee Red,Apparel,apparel
YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,apparel
YouTube Women's Fleece Hoodie Black,Apparel,apparel
Google Onesie Red,Apparel,apparel
YouTube Men's Vintage Tee,Apparel,apparel
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee White,Apparel,apparel
Android Women's Long Sleeve Blended Cardigan Grey,Apparel,apparel
Men's Softshell Jacket Black/Grey,Apparel,sports & fitness
Google Men's Short Sleeve Performance Badge Tee Charcoal,Apparel,apparel
Google Women's Scoop Neck Tee Black,Apparel,apparel
Google Infant Zip Hood Royal Blue,Apparel,apparel
Google Toddler 1/4 Zip Fleece Pewter,Apparel,apparel
Google Toddler Raglan Shirt Blue Heather/Navy,Apparel,apparel
Google Youth Girl Hoodie,Apparel,apparel
Android Toddler Short Sleeve T-shirt Pewter,Apparel,apparel
Google Women's Tee Grey,Apparel,apparel
Android Infant Short Sleeve Tee Pewter,Apparel,apparel
Google Infant Short Sleeve Tee Red,Apparel,apparel
YouTube Onesie Heather,Apparel,apparel
Google Men's Vintage Tank,Apparel,apparel
Google Women's Vintage Hero Tee Black,Apparel,apparel
Google Men's Airflow 1/4 Zip Pullover Lapis,Apparel,apparel
Android Men's Vintage Tank,Apparel,apparel
Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,apparel
Google Vintage Henley Grey/Black,Apparel,apparel
Google Men's Long Sleeve Raglan Cranberry,Apparel,apparel
Android Heavyweight Long Sleeve Badge Tee Black,Apparel,apparel
Google Onesie Royal Blue,Apparel,apparel
Google Onesie Red/Graphite,Apparel,apparel
Google Men's Performance Hero Tee Gunmetal,Apparel,apparel
Google Women's Scoop Neck Tee Green,Apparel,apparel
Google Women's Performance Golf Polo Blue,Apparel,apparel
Android Women's Fleece Hoodie,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Navy,Apparel,apparel
Android Lifted Men's Short Sleeve Tee Blue,Apparel,apparel
Android Men's Pep Rally Short Sleeve Tee Navy,Apparel,apparel
Android Men's Outerstellar Short Sleeve Tee Black,Apparel,apparel
Android Men's Take Charge Short Sleeve Tee Purple,Apparel,apparel
Android Men's Engineer Short Sleeve Tee Charcoal,Apparel,apparel
Google Men's Around The Block Short Sleeve Tee Ash,Apparel,apparel
Google Youth Short Sleeve T-shirt Yellow,Apparel,apparel
Google Men's Bayside Graphic Tee,Apparel,apparel
Google Women's Short Sleeve Hero Tee Grey,Apparel,apparel
Men's Weatherblock Shell Jacket Black,Apparel,apparel
Google Women's Scoop Neck Tee White,Apparel,apparel
Google Women's Short Sleeve Performance Tee Black,Apparel,apparel
Google Youth Girl Tee Green,Apparel,apparel
Google Women's 1/4 Zip Performance Pullover Black,Apparel,apparel
YouTube Men's Vintage Henley,Apparel,apparel
Google Women's Yoga Pants,Apparel,apparel
Google Women's Vintage Hero Tee Lavender,Apparel,apparel
Google Men's Vintage Badge Tee Sage,Apparel,apparel
Android Infant Short Sleeve Tee Pink,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee  White,Apparel,apparel
Google Men's Performance Polo Grey/Black,Apparel,apparel
Android Men's Short Sleeve Hero Tee White,Apparel,apparel
Google Toddler Short Sleeve T-shirt Yellow,Apparel,apparel
You Tube Toddler Short Sleeve Tee Red,Apparel,sports & fitness
Google Men's Long & Lean Tee Grey,Apparel,apparel
Google Infant Zip Hood Pink,Apparel,apparel
Google Women's Quilted Insulated Vest White,Apparel,apparel
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,Apparel,apparel
Google Infant Short Sleeve Tee White,Apparel,apparel
Google Men's 3/4 Sleeve Raglan Henley Grey,Apparel,apparel
Google Infant Short Sleeve Tee Cornflower Blue,Apparel,apparel
Google Canvas Tote Natural/Navy,Bags,apparel
Sport Bag,Bags,sports & fitness
Collapsible Shopping Bag,Bags,bags & luggage
Reusable Shopping Bag,Bags,bags & luggage
Google Alpine Style Backpack,Bags,apparel
Google Slim Utility Travel Bag,Bags,apparel
Suitcase Organizer Cubes,Bags,bags & luggage
Google Lunch Bag,Bags,apparel
Waterproof Backpack,Bags,kids' fashion
Electronics Accessory Pouch,Bags,bags & luggage
Google Tote Bag,Bags,apparel
Softsided Travel Pouch Set,Bags,bags & luggage
Google Zipper-front Sports Bag,Bags,apparel
Google Laptop Backpack,Bags,apparel
Google Rucksack,Bags,apparel
Large Zipper Top Tote Bag,Bags,accessories
Google 22 oz Water Bottle,Drinkware,apparel
Google Infuser-Top Water Bottle,Drinkware,apparel
Engraved Ceramic Google Mug,Drinkware,apparel
Android Glass Water Bottle with Black Sleeve,Drinkware,apparel
Android Rise 14 oz Mug,Drinkware,car & motorbike
Red Shine 15 oz Mug,Drinkware,car & motorbike
23 oz Wide Mouth Sport Bottle,Drinkware,sports & fitness
Google 17oz Stainless Steel Sport Bottle,Drinkware,apparel
26 oz Double Wall Insulated Bottle,Drinkware,home & kitchen
24 oz YouTube Sergeant Stripe Bottle,Drinkware,apparel
Foam Can and Bottle Cooler,Drinkware,appliances
20 oz Stainless Steel Insulated Tumbler,Drinkware,home & kitchen
Google Insulated Stainless Steel Bottle,Drinkware,apparel
Google 40 oz Insulated Monster Bottle,Drinkware,apparel
Google Accent Insulated Stainless Steel Bottle,Drinkware,apparel
Google 25 oz Red Stainless Steel Bottle,Drinkware,apparel
Android 24 oz Contigo Bottle,Drinkware,sports & fitness
Bottle Opener Clip,Drinkware,home & kitchen
Google 25 oz Blue Stainless Steel Bottle,Drinkware,apparel
Android 25 oz Green Apple Stainless Steel Bottle,Drinkware,home & kitchen
Android 17oz Stainless Steel Sport Bottle,Drinkware,apparel
Insulated Bottle,Drinkware,home & kitchen
7&quot; Dog Frisbee,Lifestyle,pet supplies
Compact Selfie Stick,Lifestyle,beauty & health
Google Kick Ball,Lifestyle,apparel
Seat Pack Organizer,Lifestyle,industrial supplies
Google Sunglasses,Lifestyle,apparel
Yoga Mat Blue,Lifestyle,sports & fitness
Google Pet Feeding Mat,Lifestyle,apparel
1 oz Hand Sanitizer,Lifestyle,beauty & health
Google Executive Umbrella,Lifestyle,apparel
Windup Android,Lifestyle,apparel
Google Collapsible Pet Bowl,Lifestyle,apparel
Crunch Noise Dog Toy,Lifestyle,pet supplies
Android Lunch Kit,Lifestyle,apparel
Yoga Mat Purple,Lifestyle,sports & fitness
Straw Beach Mat,Lifestyle,sports & fitness
Waze Mobile Phone Vent Mount,Waze,car & motorbike
Waze Mood Ninja Window Decal,Waze,car & motorbike
Waze Men's Short Sleeve Tee,Waze,sports & fitness
Waze Mood Original Window Decal,Waze,home & kitchen
Waze Baby on Board Window Decal,Waze,toys & baby products
Waze Mood Happy Window Decal,Waze,toys & baby products
Waze Men's Typography Short Sleeve Tee,Waze,sports & fitness
Waze Women's Short Sleeve Tee,Waze,apparel
Waze Women's Typography Short Sleeve Tee,Waze,women's clothing
Google Trucker Hat,Headgear,apparel
Google Wool Heather Cap Heather/Navy,Headgear,apparel
Android Stretch Fit Hat M/L,Headgear,apparel
Google Blackout Cap,Headgear,apparel
Google French Terry Cap,Headgear,apparel
YouTube Trucker Hat,Headgear,apparel
Google 5-Panel Cap,Headgear,apparel
YouTube Wool Heather Cap Heather/Black,Headgear,apparel
Google Stretch Fit Hat S/M Navy,Headgear,apparel
Google Stretch Fit Hat M/L Navy,Headgear,apparel
Google Stretch Fit Hat L/XL Navy,Headgear,apparel
YouTube Luggage Tag,Fun,apparel
Android Luggage Tag,Fun,apparel
Google Luggage Tag,Fun,apparel
YouTube Spiral Journal with Pen,Notebooks & Journals,office
Google RFID Journal,Notebooks & Journals,office
Google Hard Cover Journal,Notebooks & Journals,office
YouTube RFID Journal,Notebooks & Journals,office
Google Spiral Journal with Pen,Notebooks & Journals,office
YouTube Hard Cover Journal,Notebooks & Journals,office
Google Leather Journal-Brown,Notebooks & Journals,apparel
Android Hard Cover Journal,Notebooks & Journals,office
Google Leather Perforated Journal,Notebooks & Journals,office
Android RFID Journal,Notebooks & Journals,office
Google 25 oz Clear Stainless Steel Bottle,Google,apparel
Nest Cam Indoor Security Camera - CA,Nest-Canada,"tv, audio & cameras"
Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,industrial supplies
Nest Cam Outdoor Security Camera - CA,Nest-Canada,"tv, audio & cameras"
Nest Protect Smoke + CO White Wired Alarm - CA,Nest-Canada,home & kitchen
Nest Protect Smoke + CO White Battery Alarm - CA,Nest-Canada,home & kitchen
22 oz Android Bottle,Bottles,apparel
22 oz YouTube Bottle Infuser,Bottles,home & kitchen
Gift Card - $50.00,Gift Cards,bags & luggage
Gift Card- $100.00,Gift Cards,home & kitchen
Gift Card - $25.00,Gift Cards,bags & luggage
Google Collapsible Duffel Black,More Bags,apparel
Google Collapsible Duffel Blue,More Bags,apparel
25L Classic Rucksack,Backpacks,bags & luggage
SPF-15 Slim & Slender Lip Balm,Housewares,beauty & health
Android Men's Paradise Short Sleeve Tee Olive,Android,apparel
Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,home & kitchen
Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,home & kitchen
Google Large Standard Journal Navy,Office,office
Google Large Standard Journal Grey,Office,office
YouTube Tee Black,Apparel,apparel
Google Tee Yellow,Apparel,apparel
Google Tee Green,Apparel,apparel
Google Women's Short Sleeve Badge Tee Grey,Apparel,apparel
Google Women's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Trike Tee Black,Apparel,apparel
Google Tee Blue,Apparel,apparel
YouTube Women's Favorite Tee White,Apparel,apparel
Google Women's Coder Tee Navy,Apparel,apparel
Google Crewneck Sweatshirt Navy,Apparel,apparel
Android Women's Peace Tee Black,Apparel,apparel
Google Protector Tee Navy,Apparel,apparel
Android Tone Hoodie Black,Apparel,apparel
Android Matrix Tee White,Apparel,apparel
YouTube 3 lines Tee Grey,Apparel,apparel
YouTube Kids Tee White,Apparel,apparel
Google Crew Sweater Navy,Apparel,apparel
Google Youth Short Sleeve Tee Red,Apparel,apparel
Google Tee Red,Apparel,apparel
Google Men's Long & Lean Tee Charcoal,Apparel,apparel
Google Women's Convertible Vest-Jacket Sea Foam Green,Apparel,apparel
Google Flower Tee Purple,Apparel,apparel
Google Infant Short Sleeve Tee Green,Apparel,apparel
Google Zip Hoodie Black,Apparel,apparel
Google Braille Tee Black,Apparel,apparel
Android Women's Dash Tee Grey,Apparel,apparel
YouTube Kids Tee Black,Apparel,apparel
YouTube Kids Onesie White,Apparel,apparel
Google Women's Softshell Jacket Black/Grey,Apparel,apparel
Google Rolltop Backpack Blue,Bags,apparel
Google Thermal Bottle Green,Drinkware,apparel
Google Thermal Bottle Yellow,Drinkware,apparel
Google Thermal Bottle Blue,Drinkware,apparel
Google Thermal Bottle Red,Drinkware,apparel
Google White Force 17 oz Bottle,Drinkware,apparel
Google Hub Mug White,Drinkware,apparel
Waze Dress Socks,Waze,sports & fitness
Google Snapback Navy Cap,Headgear,apparel
Google Snapback Black Cap,Headgear,apparel
YouTube Transmission Journal Black,Notebooks & Journals,office
Nest Thermostat E - USA,Nest,beauty & health
Nest Cam IQ - USA,Nest,beauty & health
Nest Tag - USA,Nest,beauty & health
Nest Secure Alarm System Starter Pack - USA,Nest,home & kitchen
Nest Detect - USA,Nest,beauty & health
Nest  Thermostat E - CA,Nest,industrial supplies
Nest Cam IQ - CA,Nest,industrial supplies
Android Small Removable Sticker Sheet,Accessories,office
Android Large Removable Sticker Sheet,Accessories,office
Google Emoji Sticker Pack,Accessories,apparel
Waze Pack of 9 Decal Set,Accessories,car & motorbike
BLM Sweatshirt,Apparel,sports & fitness
Google Women's Short Sleeve Performance Tee Charcoal,Apparel,apparel
Android Men's Vintage Henley,Apparel,apparel
YouTube Men's Vintage Tank,Apparel,apparel
Android Stretch Fit Hat,Apparel,apparel
Google Women's Long Sleeve Blended Cardigan Charcoal,Apparel,apparel
Android Men's Long Sleeve Badge Crew Tee Heather,Apparel,apparel
Google Infant Short Sleeve Tee Royal Blue,Apparel,apparel
Android Men's Long & Lean Badge Tee Charcoal,Apparel,apparel
Google Women's Shell Jacket Blue/Black,Apparel,apparel
YouTube Men's Long & Lean Tee Charcoal,Apparel,apparel
Google Men's Colorblock Tee White/Heather,Apparel,apparel
Google Women's Performance Hero Tee Gunmetal,Apparel,apparel
Google Men's Short Sleeve Hero Tee Light Blue,Apparel,apparel
Women's Weatherblock Shell Jacket Black,Apparel,apparel
Google Women's Short Sleeve Performance Tee Pewter,Apparel,apparel
Android Onesie Gold,Apparel,apparel
YouTube Men's Skater Tee Charcoal,Apparel,apparel
Google Toddler Sports T-shirt Red,Apparel,apparel
Yoga Block,Lifestyle,sports & fitness
Android Stretch Fit Hat S/M,Headgear,apparel
Google 5-Panel Snapback Cap,Headgear,apparel
Google Spiral Leather Journal,Notebooks & Journals,office
Google Leather Journal-Black,Notebooks & Journals,apparel
UpCycled Bike Saddle Bag,Accessories,sports & fitness
Waterproof Gear Bag,Office,bags & luggage
Google Men's Convertible Vest-Jacket Pewter,Apparel,apparel
Android Men's Skater Badge Tee Charcoal,Apparel,apparel
Google Women's Convertible Vest-Jacket Black,Apparel,apparel
YouTube Men's 3/4 Sleeve Henley,Apparel,apparel
Android Youth Short Sleeve T-shirt Aqua,Apparel,apparel
Android Onesie Baby Blue,Apparel,apparel
Android Women's Racer Back Tank Black,Apparel,apparel
Google Women's Short Sleeve Performance Tee Navy,Apparel,apparel
Google Men's Heavyweight Long Sleeve Hero Tee Navy,Apparel,apparel
Android Women's Short Sleeve Badge Tee Light Charcoal,Apparel,apparel
Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,Apparel,apparel
YouTube Women's Racer Back Tank Black,Apparel,apparel
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,Apparel,apparel
Google Baby Essentials Set,Apparel,apparel
Google Women's Colorblock Tee White,Apparel,apparel
Android Spiral Journal with Pen,Notebooks & Journals,office
Nest Cam IQ Outdoor - USA (Preorder),Nest,bags & luggage
UpCycled Handlebar Bag,Accessories,bags & luggage
Emoji Sticker Sheet,Accessories,home & kitchen
Android 5-Panel Low Cap,Apparel,apparel
Android Wool Heather Cap Heather/Black,Headgear,apparel
Google Snapback Hat Black,Headgear,apparel
Google 17 oz Double Wall Stainless Steel Insulated Bottle,Google,home & kitchen
Android Baby Esssentials Set,Apparel,apparel
Google Women's Performance Polo Grey/Black,Apparel,apparel
Android Stretch Fit Hat L/XL,Headgear,apparel
Google Women's Short Sleeve Hero Dark Grey,Apparel,apparel
Compact Journal with Recycled Pages,Office,office
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,Apparel,apparel
Gift Card - $10.00,Gift Cards,bags & luggage
Gift Card - $250.00,Gift Cards,bags & luggage
Google Laptop Tech Backpack,Backpacks,apparel
